planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,orbital_eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec
K2-318 b,K2-318,1.0,Transit,2020.0,K2,7.01,0.0911,1.66,,,456.0,,3851.0,0.552,0.561,4.701,147.866
K2-319 b,K2-319,1.0,Transit,2020.0,K2,26.68,0.1516,2.79,,,641.0,,5440.0,0.898,0.954,4.512,209.071
K2-32 b,K2-32,2.0,Transit,2016.0,K2,8.991845877272727,0.08042200000000001,5.168803245,17.225,0.01,796.0,G9 V,5250.333333333333,0.854494875,0.8603333333333333,4.50532125,157.682
K2-32 c,K2-32,2.0,Transit,2016.0,K2,20.660079,0.14002599999999998,3.0899179539999997,8.5,0.016333333333333335,603.25,G9 V,5247.375,0.8548805714285714,0.8603333333333333,4.501285714285714,157.682
K2-32 d,K2-32,2.0,Transit,2016.0,K2,31.7171879,0.186364,3.4468111980000002,16.425,0.016666666666666666,523.0,G9 V,5247.375,0.8548805714285714,0.8603333333333333,4.501285714285714,157.682
K2-32 e,K2-32,2.0,Transit,2019.0,K2,4.3490866666666665,0.04925,1.4740000000000002,2.1,0.043,1066.0,,5271.0,0.8525,0.843,4.49,157.682
K2-320 b,K2-320,1.0,Transit,2020.0,K2,1.995,0.0142,2.62,,,698.0,,3157.0,0.3,0.117,4.55,108.74
K2-321 b,K2-321,1.0,Transit,2020.0,K2,2.29798745,0.034695000000000004,2.000621735,,0.44,765.5,,3802.5,0.589,0.5885,4.6665,77.6888
K2-322 b,K2-322,1.0,Transit,2020.0,K2,8.205,0.0594,1.92,,,635.0,,4141.0,0.602,0.63,4.677,123.415
K2-323 b,K2-323,1.0,Transit,2020.0,K2,24.93,0.1275,2.1,,,318.0,,3710.0,0.549,0.478,4.63,118.318
K2-324 b,K2-324,1.0,Transit,2020.0,K2,3.262,0.0331,2.43,,,707.0,,3752.0,0.505,0.517,4.743,136.667
K2-325 b,K2-325,1.0,Transit,2020.0,K2,6.93,0.0419,2.2,,,423.0,,3287.0,0.298,0.274,4.84,111.638
K2-326 b,K2-326,1.0,Transit,2020.0,K2,1.256,0.0198,2.28,,,1114.0,,3924.0,0.688,0.507,4.462,282.308
K2-329 b,K2-329,1.0,Transit,2020.0,K2,12.4551225,0.1016,8.675766,82.6358,0.0697,650.0,,5282.0,0.822,0.901,4.566,233.237
K2-33 b,K2-33,1.0,Transit,2016.0,K2,5.42457222,0.0409,3.7095,1160.0795,0.0,850.0,M3,3289.5,0.89715575,0.4063333333333334,3.951585,139.268
K2-330 b,K2-330,1.0,Transit,2021.0,K2,13.77345,,2.608738005,,,969.0,,6204.326666666667,1.47936,1.2255,4.126896666666666,160.125
K2-331 b,K2-331,1.0,Transit,2021.0,K2,9.398977,,1.79,,,909.0,,5994.0,1.06,1.1,4.43,211.43
K2-331 c,K2-331,1.0,Transit,2021.0,K2,22.9962555,,2.6100000000000003,,,673.0,,6002.0,1.0514999999999999,1.1,4.428,211.43
K2-332 b,K2-332,1.0,Transit,2021.0,K2,17.704340000000002,,1.98,,,266.0,,3290.5,0.28483800000000004,0.2674415,4.95365,123.202
K2-333 b,K2-333,1.0,Transit,2021.0,K2,14.759580333333332,,5.74,,,826.0,,6006.666666666667,1.1973333333333331,1.06,4.308666666666666,343.99
K2-334 b,K2-334,1.0,Transit,2021.0,K2,5.113882266666667,,5.325,,,1380.0,,6760.666666666667,1.436,1.36,4.256,371.82300000000004
K2-335 b,K2-335,1.0,Transit,2021.0,K2,12.281938499999999,,2.4021121033333332,,,949.0,,6159.666666666667,1.3292366666666666,1.225,4.231216666666667,557.993
K2-336 b,K2-336,1.0,Transit,2021.0,K2,21.19578025,,1.2890820333333333,,,569.0,,5332.59,0.7933453333333333,0.885,4.564396666666666,239.289
K2-337 b,K2-337,1.0,Transit,2021.0,K2,16.27217575,,2.4996212966666667,,,850.0,,5821.666666666667,1.2828766666666667,1.01,4.2238966666666675,421.636
K2-338 b,K2-338,1.0,Transit,2021.0,K2,3.850418,,1.0514999999999999,,,783.0,,4531.0,0.6284765,0.6839999999999999,4.6718150000000005,156.951
K2-339 b,K2-339,1.0,Transit,2021.0,K2,19.507714,,2.0149999999999997,,,508.0,,4857.0,0.6479999999999999,0.74,4.59,360.36
K2-34 b,K2-34,1.0,Transit,2016.0,K2,2.995635823076923,0.044398,14.097773631999999,503.8400075,0.019,1675.75,F,6133.358181818182,1.4248193333333332,1.2089927777777776,4.173029090909091,348.646
K2-340 b,K2-340,1.0,Transit,2021.0,K2,29.735183666666668,,3.44,,,606.0,,5498.0,1.13,0.9450000000000001,4.313695,738.136
K2-341 b,K2-341,1.0,Transit,2021.0,K2,36.555034,,3.1192900433333333,,,598.0,,5788.0,1.13,0.98,4.305,421.4080000000001
K2-342 b,K2-342,1.0,Transit,2021.0,K2,11.561283,,2.215,,,861.0,,6030.0,1.248,1.01,4.3075,208.357
K2-343 b,K2-343,1.0,Transit,2021.0,K2,2.7871420000000002,,1.825,,,653.0,,3804.0,0.48350000000000004,0.49,4.8,166.169
K2-343 c,K2-343,1.0,Transit,2021.0,K2,7.676948666666667,,2.2533333333333334,,,465.0,,3797.0,0.4625,0.49,4.795,166.169
K2-344 b,K2-344,1.0,Transit,2021.0,K2,3.355852,,1.5950000000000002,,,722.0,,4117.0,0.5205,0.51,4.74,75.1691
K2-345 b,K2-345,1.0,Transit,2021.0,K2,10.366569,,1.9649999999999999,,,437.0,,3727.0,0.5297005,0.547811,4.721550000000001,162.408
K2-346 b,K2-346,1.0,Transit,2021.0,K2,26.198017,,2.2340434966666667,,,450.0,,4756.0,0.7007283333333333,0.728,4.63946,105.58
K2-347 b,K2-347,1.0,Transit,2021.0,K2,7.186958999999999,,2.495,,,640.0,,4495.0,0.6235495,0.6735,4.672155,320.336
K2-348 b,K2-348,1.0,Transit,2021.0,K2,4.6885215,,3.53,,,908.0,,5148.5,0.85,0.83,4.5225,201.856
K2-348 c,K2-348,1.0,Transit,2021.0,K2,12.5505335,,2.635,,,655.0,,5148.5,0.839,0.83,4.5225,201.856
K2-349 b,K2-349,1.0,Transit,2021.0,K2,9.031492666666667,,2.065,,,518.0,,4829.5,0.7003559999999999,0.72,4.690695,453.567
K2-35 b,K2-35,1.0,Transit,2016.0,K2,2.39967406,0.031200000000000002,1.318,,0.13,979.0,K4 V,4458.6775,0.62339375,0.701968,4.6285,252.596
K2-35 c,K2-35,1.0,Transit,2016.0,K2,5.6088951400000004,0.0551,1.9966666666666668,,0.12,751.5,K4 V,4446.858333333334,0.67489375,0.690984,4.581466666666667,252.596
K2-350 b,K2-350,1.0,Transit,2021.0,K2,4.163873,,1.54,,,1158.0,,5789.0,1.04,0.98,4.39,489.368
K2-350 c,K2-350,1.0,Transit,2016.0,K2,19.99101466666667,,2.7750000000000004,,,687.0,,5794.0,1.0230000000000001,1.01,4.43248,489.368
K2-351 b,K2-351,1.0,Transit,2021.0,K2,7.80639867,,2.785,,,934.0,,5749.0,1.04316,1.0266666666666666,4.411373333333334,694.734
K2-352 b,K2-352,1.0,Transit,2021.0,K2,3.665912,,1.37,,,1160.0,,5791.0,0.95,0.98,4.47,176.051
K2-352 c,K2-352,1.0,Transit,2021.0,K2,8.235685499999999,,1.96,,,885.0,,5860.5,0.9365,0.98,4.483499999999999,176.051
K2-352 d,K2-352,1.0,Transit,2021.0,K2,14.870664999999999,,3.3150000000000004,,,727.0,,5860.5,0.9365,0.98,4.483499999999999,176.051
K2-353 b,K2-353,1.0,Transit,2021.0,K2,15.466805,,5.55,,,735.0,,5698.0,0.99,0.87,4.38,268.515
K2-354 b,K2-354,1.0,Transit,2021.0,K2,3.793653,,1.56,,,543.0,,3589.5,0.4159405,0.4229735,4.833365000000001,91.722
K2-355 b,K2-355,1.0,Transit,2021.0,K2,5.7385647,0.0632,2.25,,,1066.0,,5790.0,0.92,0.96,4.49,500.497
K2-356 b,K2-356,1.0,Transit,2021.0,K2,21.0267366,0.1599,2.29,,,624.0,,5568.0,0.86,0.9,4.52,355.54
K2-357 b,K2-357,1.0,Transit,2021.0,K2,16.3488637,0.145,3.72,,,735.0,,5794.0,1.0,0.98,4.43,517.687
K2-358 b,K2-358,1.0,Transit,2021.0,K2,11.2510285,0.0863,2.68,,,888.0,,5650.0,0.91,0.93,4.49,480.307
K2-36 b,K2-36,1.0,Transit,2016.0,K2,1.4226191,0.022815000000000002,1.4181861387499999,4.433333333333334,0.0465,1246.0,K2 V,4910.714285714285,0.73175,0.7950662500000001,4.6238,109.749
K2-36 c,K2-36,1.0,Transit,2016.0,K2,5.340863496666667,0.05513,2.9725458225,13.9,0.0445,801.75,K2 V,4900.043333333333,0.7339974,0.7950662500000001,4.6123014285714286,109.749
K2-360 c,EPIC 201595106,1.0,Radial Velocity,2024.0,Multiple Observatories,9.79692,0.0883,,15.23,0.11,912.0,,5679.0,0.98,0.958,4.435,232.1
K2-365 b,K2-365,1.0,Transit,2022.0,K2,23.4437512,,2.93826349,,,,,5620.5,1.0318606666666665,0.9025,4.408146666666666,187.222
K2-366 b,K2-366,1.0,Transit,2022.0,K2,15.937168999999999,,2.023,,,,,5087.5,0.7903333333333333,0.825,4.406,185.947
K2-367 b,K2-367,1.0,Transit,2022.0,K2,20.645008999999998,,2.4443333333333332,,,,,4372.0,0.625,0.756,4.726,176.965
K2-368 b,K2-368,1.0,Transit,2022.0,K2,5.025906333333333,,1.4580000000000002,,,,,4671.0,0.663,0.746,4.667,206.60800000000003
K2-368 c,K2-368,1.0,Transit,2022.0,K2,9.659438,,1.3704999999999998,,,,,4663.0,0.62,0.746,4.667,206.608
K2-368 d,K2-368,1.0,Transit,2022.0,K2,20.200992499999998,,1.919,,,,,4663.0,0.62,0.746,4.667,206.608
K2-369 b,K2-369,1.0,Transit,2022.0,K2,5.7617689500000004,,1.318277635,,,,,5592.0,0.8745,0.735,4.494,185.55
K2-37 b,K2-37,1.0,Transit,2016.0,K2,4.44279815,0.051074999999999995,1.5426201883333333,,,961.5,G3 V,5279.8,0.81735075,0.881717,4.5555,179.943
K2-37 c,K2-37,1.0,Transit,2016.0,K2,6.429632744285714,0.06537,2.591353273333333,,,850.0,G3 V,5221.0,0.8254842,0.881717,4.540204,179.943
K2-37 d,K2-37,1.0,Transit,2016.0,K2,14.091817166666667,0.11025,2.4919597733333334,12.5,,654.5,G3 V,5279.8,0.81735075,0.881717,4.5555,179.943
K2-370 b,K2-370,1.0,Transit,2022.0,K2,2.14084,,3.207,,,,G8,5377.0,0.971,0.984,4.454,144.202
K2-371 b,K2-371,1.0,Transit,2022.0,K2,3.114920824,,12.518,,,,,4943.0,0.74504,0.866,4.62918,442.813
K2-372 b,K2-372,1.0,Transit,2022.0,K2,9.844056,,3.0583333333333336,,,,,5489.615,0.93075,0.9035,4.44755,463.88
K2-373 b,K2-373,1.0,Transit,2022.0,K2,11.02098,,2.1555,,,,,6138.0,1.4965,1.158,4.156,229.567
K2-374 b,K2-374,1.0,Transit,2022.0,K2,4.521953,,1.593,,,,G3,5789.0,0.907,0.731,4.386,359.439
K2-374 c,K2-374,1.0,Transit,2022.0,K2,16.43445,,2.213,,,,G3,5789.0,0.907,0.731,4.386,359.439
K2-375 b,K2-375,1.0,Transit,2022.0,K2,14.4539645,,2.279441873333333,,,,,5828.693333333334,1.5476433333333333,1.0845,4.168733333333333,696.1
K2-376 b,K2-376,1.0,Transit,2022.0,K2,5.776475,,1.736,,,,G1,5937.0,1.149,0.908,4.275,161.61
K2-377 b,K2-377,1.0,Transit,2022.0,K2,12.834181206666665,,1.7565,,,,,4257.0,0.694492,0.7475,4.6260200000000005,195.149
K2-378 b,K2-378,1.0,Transit,2022.0,K2,2.060268666666667,,3.02,,,,,4838.5,0.731807,0.8565,4.63772,687.973
K2-379 b,K2-379,1.0,Transit,2022.0,K2,8.777773499999999,,2.2255000000000003,,,,,4603.0,0.7204999999999999,0.856,4.615,182.207
K2-38 b,K2-38,1.0,Transit,2016.0,K2,4.0161871428571425,0.0503925,1.6857900000000001,10.41396,0.1535,1237.25,G2 V,5731.166666666667,1.1324,1.0548,4.3528,192.69
K2-38 c,K2-38,1.0,Transit,2016.0,K2,10.56107,0.096035,2.436666666666667,8.325000000000001,0.1235,896.25,G2 V,5726.0,1.10525,1.0485,4.3535,192.68999999999997
K2-380 b,K2-380,1.0,Transit,2022.0,K2,9.401516,,2.3445,,,,,5911.0,1.225,0.993,4.194,249.303
K2-381 b,K2-381,1.0,Transit,2022.0,K2,7.938996466666667,,1.0327412366666666,,,,,4567.0,0.660326,0.754,4.656499999999999,145.701
K2-381 c,K2-381,1.0,Transit,2022.0,K2,16.0361368,,2.0270418625,,,,,4614.666666666667,0.646884,0.754,4.656499999999999,145.701
K2-381 d,K2-381,1.0,Transit,2022.0,K2,26.804473666666667,,1.5668599366666667,,,,,4567.0,0.660326,0.754,4.656499999999999,145.701
K2-382 b,K2-382,1.0,Transit,2022.0,K2,21.699258333333333,,2.40753041,,,,,5511.0,0.811,0.922,4.5975,278.412
K2-383 b,K2-383,1.0,Transit,2022.0,K2,1.8659886666666665,,1.7242041266666668,,,,,5180.0,0.8145625000000001,1.061,4.6675,203.788
K2-384 b,K2-384,1.0,Transit,2022.0,K2,2.231527,,1.076,,,,M4 V,3623.0,0.348,0.33,4.874,82.6603
K2-384 c,K2-384,1.0,Transit,2022.0,K2,4.195008,,1.1205,,,,M4 V,3623.0,0.3025,0.33,4.874,82.6603
K2-384 d,K2-384,1.0,Transit,2022.0,K2,6.679341,,1.246,,,,M4 V,3623.0,0.3025,0.33,4.874,82.6603
K2-384 e,K2-384,1.0,Transit,2022.0,K2,9.7155265,,1.2425,,,,M4 V,3623.0,0.3025,0.33,4.874,82.6603
K2-384 f,K2-384,1.0,Transit,2022.0,K2,13.627486666666668,,2.001,,,,M4 V,3741.5,0.28733333333333333,0.33,4.874,82.6603
K2-385 b,K2-385,1.0,Transit,2022.0,K2,2.3809234999999997,,1.6295,,,,,4844.0,0.7475,0.927,4.64,420.819
K2-386 b,K2-386,1.0,Transit,2022.0,K2,7.473417666666666,,2.5300000000000002,,,,,5670.5,0.9973333333333333,0.911,4.424,428.785
K2-387 b,K2-387,1.0,Transit,2022.0,K2,28.735174999999998,,6.514,,,,,3572.0,0.6245,0.57,4.66,266.318
K2-388 b,K2-388,1.0,Transit,2022.0,K2,6.339152666666667,,3.74,,,874.0,G8,5348.0,0.9013333333333334,0.8713333333333333,4.444,290.495
K2-389 b,K2-389,1.0,Transit,2022.0,K2,8.583499666666667,,2.2106666666666666,,,932.0,G3,5779.0,1.0873333333333335,0.8646666666666668,4.285333333333333,259.208
K2-389 c,K2-389,1.0,Transit,2022.0,K2,20.851337,,2.04,,,,G3,5782.0,1.084,0.802,4.273,259.208
K2-39 b,K2-39,1.0,Transit,2016.0,K2,4.6048647,0.058826666666666666,5.891173333333334,39.076175,0.050666666666666665,1610.0,,4905.142857142857,2.938114,1.1005,3.5444000000000004,307.46999999999997
K2-390 b,K2-390,1.0,Transit,2022.0,K2,3.312792,,4.662,,,,G4,5558.0,0.966,0.789,4.368,456.122
K2-391 b,K2-391,1.0,Transit,2022.0,K2,4.622654,,1.371,,,,G7,5543.0,0.566,0.757,4.973,507.94
K2-392 b,K2-392,1.0,Transit,2022.0,K2,15.398723,,1.85,,,,G3,5726.0,1.058,0.841,4.314,406.985
K2-393 b,K2-393,1.0,Transit,2022.0,K2,10.4123105,,2.352,,,,,5609.0,1.0955,0.881,4.321,265.914
K2-394 b,K2-394,1.0,Transit,2022.0,K2,5.0957685,,1.692,,,,,4714.0,0.631,0.478,4.515,98.0152
K2-395 b,K2-395,1.0,Transit,2022.0,K2,4.803352,,2.597,,,,K0,5007.0,0.783,0.952,4.628,286.727
K2-395 c,K2-395,1.0,Transit,2022.0,K2,8.491282,,3.395,,,,K0,5007.0,0.783,0.952,4.628,286.727
K2-396 b,K2-396,1.0,Transit,2022.0,K2,0.673862,,1.579,,,,G9,5236.0,0.92,0.954,4.488,274.864
K2-396 c,K2-396,1.0,Transit,2022.0,K2,25.76051,,3.124,,,,,5236.0,0.92,0.954,4.488,274.864
K2-397 b,K2-397,1.0,Transit,2022.0,K2,3.572326,,2.417,,,,G7,5387.0,0.966,0.937,4.435,199.354
K2-398 b,K2-398,1.0,Transit,2022.0,K2,6.393025,,2.274,,,,G2,5946.0,1.239,0.945,4.227,606.992
K2-398 c,K2-398,1.0,Transit,2022.0,K2,18.787839,,5.098,,,,G2,5946.0,1.239,0.945,4.227,606.992
K2-4 b,K2-4,1.0,Transit,2015.0,K2,10.004332781666667,0.07573333333333333,2.2039999999999997,,0.08,563.0,,4090.546,0.5903397499999999,0.6350086666666667,4.711345,231.828
K2-400 b,K2-400,1.0,Transit,2022.0,K2,3.865053,,1.163,,,,M3,3578.0,0.382,0.374,4.847,62.3804
K2-401 b,K2-401,1.0,Transit,2022.0,K2,6.293099,,2.262,,,,K7,4213.0,0.675,0.87,4.719,200.727
K2-402 b,K2-402,1.0,Transit,2022.0,K2,17.27474,,2.678,,,,G2,5716.0,1.28,0.944,4.197,523.055
K2-403 b,K2-403,1.0,Transit,2022.0,K2,33.589979,,5.333,,,,G4,5511.0,0.886,0.784,4.439,246.599
K2-404 b,K2-404,1.0,Transit,2022.0,K2,13.115365,,2.53,,,,M1,3748.0,0.552,0.552,4.695,121.63
K2-405 b,K2-405,1.0,Transit,2022.0,K2,3.4354620000000002,,4.1875,,,,K0,4927.0,0.765,1.034,4.685,197.234
K2-406 b,K2-406,1.0,Transit,2022.0,K2,22.549406,,4.602,,,,G4,5784.0,0.961,0.798,4.374,85.3751
K2-407 b,K2-407,1.0,Transit,2022.0,K2,4.941907,,1.283,,,,G4,5563.0,0.927,0.881,4.45,218.376
K2-407 c,K2-407,1.0,Transit,2022.0,K2,9.22453,,1.36,,,,G4,5563.0,0.927,0.881,4.45,218.376
K2-408 b,K2-408,1.0,Transit,2022.0,K2,20.978959,,1.677,,,,G7,5335.0,0.784,0.813,4.559,162.306
K2-409 b,K2-409,1.0,Transit,2022.0,K2,1.908084,,2.482,,,,G4,5742.0,1.228,0.886,4.204,431.031
K2-411 b,K2-411,1.0,Transit,2022.0,K2,3.2141,0.0511,0.9898,,,,,5711.0,1.375,1.018,4.1693,298.219
K2-412 b,K2-412,1.0,Transit,2022.0,K2,5.9382,0.0586,2.116,,,,,5590.0,0.977,0.893,4.412,654.085
K2-413 b,K2-413,1.0,Transit,2022.0,K2,0.8094,0.0117,0.7599,,,,,4116.0,0.7,0.808,4.656,285.162
K2-413 c,K2-413,1.0,Transit,2022.0,K2,5.3301,0.0426,1.2327,,,,,4116.0,0.7,0.808,4.656,285.162
K2-414 b,K2-414,1.0,Transit,2022.0,K2,4.3696,0.0487,1.219,,,,,4343.0,0.732,0.814,4.621,260.036
K2-414 c,K2-414,1.0,Transit,2022.0,K2,6.669,0.0552,1.9287,,,,,4343.0,0.732,0.814,4.621,260.036
K2-415 b,K2-415,1.0,Transit,2023.0,K2,4.0179694,0.027,1.015,7.5,,412.4,M5 V,3173.0,0.1965,0.1635,5.066,21.8182
K2-416 b,K2-416,1.0,Transit,2023.0,K2,13.102,0.088,2.66,1652.7077164,,447.0,M V,3746.0,0.554,0.548,4.691,120.311
K2-417 b,K2-417,1.0,Transit,2023.0,K2,6.535,0.063,3.31,699.2224954,,558.0,M V,3861.0,0.5776,0.569,4.67,94.0424
K2-419 A b,K2-419 A,2.0,Transit,2024.0,K2,20.358990104,0.1208,10.675,196.0,0.042,377.0,,3722.3333333333335,0.5398368,0.5442253333333333,4.71558,268.685
K2-42 b,K2-42,1.0,Transit,2016.0,K2,6.6879684,0.0617,2.3966666666666665,,,,,4544.5,0.6505000000000001,0.702,4.659,396.913
K2-43 b,K2-43,1.0,Transit,2016.0,K2,3.4712102000000002,0.037919999999999995,4.5840000000000005,,0.07,939.3,,3847.33,0.566483,0.5899546666666666,4.698,182.536
K2-43 c,K2-43,1.0,Transit,2019.0,K2,2.199167,,2.51,,,1093.7,,3840.6,0.5760000000000001,0.571,,182.536
K2-44 b,K2-44,1.0,Transit,2016.0,K2,5.656618333333333,0.06255,2.5770343066666666,,,1211.0,,5875.0,1.5846115,1.15,4.074,476.703
K2-45 b,K2-45,1.0,Transit,2016.0,K2,1.72926055,0.0237,9.8875,,0.1,,,4212.033333333334,0.629887,0.5925945,4.824,495.317
K2-46 b,K2-46,1.0,Transit,2016.0,K2,19.153769,0.13821,2.322281194,,,889.0,,6262.25,1.297222,0.9875465,4.154,449.23699999999997
K2-47 b,K2-47,1.0,Transit,2016.0,K2,31.646202,0.1779,2.3,,,,,4932.0,0.76,0.75,4.544,349.88100000000003
K2-48 b,K2-48,1.0,Transit,2016.0,K2,20.508297666666667,0.1344,2.4166666666666665,,,,,4813.5,0.725,0.77,4.603,313.764
K2-49 b,K2-49,1.0,Transit,2016.0,K2,2.770600566666667,0.0309,2.8266666666666667,,,,,4252.0,0.6053333333333333,0.51,4.81,457.125
K2-5 b,K2-5,1.0,Transit,2015.0,K2,5.73563124,0.0515,2.386,,,599.5,K7.5 V,4035.25,0.5406666666666666,0.5533333333333333,4.766500000000001,202.943
K2-5 c,K2-5,1.0,Transit,2015.0,K2,10.933365,0.07919999999999999,1.96,,,483.5,K7.5 V,4017.6666666666665,0.5406666666666666,0.5533333333333333,4.766500000000001,202.943
K2-50 b,K2-50,1.0,Transit,2016.0,K2,8.752622466666667,0.0705,2.1133333333333333,,,,,4289.0,0.61,0.611,4.742,257.443
K2-52 b,K2-52,1.0,Transit,2016.0,K2,3.535106875,0.051250000000000004,11.92,,,2004.0,,5506.666666666667,1.9173333333333333,1.4505,4.0595,1038.41
K2-53 b,K2-53,1.0,Transit,2016.0,K2,12.2075197,0.09775,2.4775,,,665.0,,4942.75,0.815833,0.8405,4.5025466666666665,138.018
K2-54 b,K2-54,1.0,Transit,2016.0,K2,9.7838,0.0716,1.88084625,,0.24,560.0,,3894.0,0.5135000000000001,0.518,4.750500000000001,174.955
K2-55 b,K2-55,1.0,Transit,2016.0,K2,2.84930495875,0.03493,4.226,44.0,0.07,900.0,,4329.568571428571,0.68559625,0.6878625,4.593552,159.522
K2-57 b,K2-57,1.0,Transit,2016.0,K2,9.007039,0.0749,2.279762505,,0.25,635.8,,4411.666666666667,0.646,0.6910000000000001,4.6545,264.213
K2-58 b,K2-58,1.0,Transit,2016.0,K2,7.052459216,0.0692,2.6535632575,,,,,5141.25,0.834193,0.873937,4.52546,181.746
K2-58 c,K2-58,1.0,Transit,2016.0,K2,2.5371233,0.035,1.6487802275,,,,,5181.666666666667,0.8334493333333333,0.873937,4.531000000000001,181.746
K2-58 d,K2-58,1.0,Transit,2016.0,K2,22.88185875,0.1517,1.77055398,,,,,5181.666666666667,0.8334493333333333,0.873937,4.531000000000001,181.746
K2-59 b,K2-59,1.0,Transit,2016.0,K2,20.694017666666667,0.1354,2.4,,,,,4915.0,0.7304999999999999,0.774,4.592,311.313
K2-59 c,K2-59,1.0,Transit,2016.0,K2,11.295736,0.0905,2.283333333333333,,,,,4915.0,0.7304999999999999,0.774,4.592,311.313
K2-6 b,K2-6,1.0,Transit,2015.0,K2,30.9412702,0.189,2.562430484,,,615.0,,5736.0,0.96,0.9434466666666667,4.534,316.819
K2-60 b,K2-60,1.0,Transit,2016.0,K2,3.0025858850000002,0.043395,8.61393675,135.39558,0.0,1400.0,G4 V,5586.8,1.404916,0.9899999999999999,4.108485,491.87000000000006
K2-61 b,K2-61,1.0,Transit,2016.0,K2,2.5732353299999997,0.0392,2.060568662,,,1325.0,,5840.0,1.0016002,1.006734,4.363894999999999,405.732
K2-62 b,K2-62,1.0,Transit,2016.0,K2,6.671603663333333,0.0636,1.9925225340000001,,,666.0,,4605.2,0.682398,0.6907156666666667,4.620855000000001,112.467
K2-62 c,K2-62,1.0,Transit,2016.0,K2,16.197198,0.1148,1.972139174,,,495.0,,4617.75,0.6779823333333334,0.6770735,4.624666666666667,112.46700000000001
K2-63 b,K2-63,1.0,Transit,2016.0,K2,20.260169666666666,0.1627,2.7300000000000004,,,,,6228.5,1.4495,1.4,4.15,517.534
K2-63 c,K2-63,1.0,Transit,2016.0,K2,25.45677166666667,0.189,3.516666666666667,,,,,6228.5,1.4495,1.4,4.15,517.534
K2-64 b,K2-64,1.0,Transit,2016.0,K2,6.5311127025,0.0619,2.57,,,,,5338.666666666667,0.82210125,0.8405,4.55139,499.891
K2-65 b,K2-65,1.0,Transit,2016.0,K2,12.648562044,0.1014,1.5204062475,,,,,4907.666666666667,0.7606666666666667,0.7859585,4.5415,
K2-66 b,K2-66,1.0,Transit,2016.0,K2,5.0693983000000005,0.06026,2.665,18.65,0.0,1399.5,,6050.0,1.69,1.11,4.0183333333333335,513.877
K2-68 b,K2-68,1.0,Transit,2016.0,K2,8.054557275,0.0708,1.78707639,,,,,4786.333333333333,0.688647,0.7406984999999999,4.686,168.652
K2-69 b,K2-69,1.0,Transit,2016.0,K2,7.0656258,0.0591,2.5966666666666662,,,,,4093.0,0.491,0.551,4.786,180.697
K2-7 b,K2-7,1.0,Transit,2015.0,K2,28.681705,0.18483333333333332,3.7813082625,,0.24,718.5,,5729.0,1.565,1.053,3.9545,738.553
K2-70 b,K2-70,1.0,Transit,2016.0,K2,13.980380865999999,0.1112,2.7750986875,,,,,5210.75,0.8148118,0.8778656666666667,4.525153333333333,232.964
K2-71 b,K2-71,1.0,Transit,2016.0,K2,6.9858446999999995,0.0559,2.735,,,,,3948.5,0.498,0.477,4.852,153.192
K2-72 b,K2-72,1.0,Transit,2016.0,K2,5.577305566666666,0.0385,1.1233333333333333,,0.11,,,3473.49,0.330989,0.24418250000000002,5.048,66.4321
K2-72 c,K2-72,1.0,Transit,2016.0,K2,15.188067,0.0751,1.01,,0.11,,,3428.7349999999997,0.2814945,0.24418250000000002,5.048,66.4321
K2-72 d,K2-72,1.0,Transit,2016.0,K2,7.760039,0.04805,0.87,,0.11,,,3428.7349999999997,0.2814945,0.24418250000000002,5.048,66.4321
K2-72 e,K2-72,1.0,Transit,2016.0,K2,24.162884,0.10200000000000001,1.055,,0.11,,,3428.7349999999997,0.2814945,0.24418250000000002,5.048,66.4321
K2-73 b,K2-73,1.0,Transit,2016.0,K2,7.495420477142857,0.07619,3.02107823,9.2,,968.0,,5999.5,1.0604046666666667,1.0470384,4.395984,269.183
K2-73 c,K2-73,1.0,Radial Velocity,2025.0,W. M. Keck Observatory,1000.0,,,1142.0,,186.1,,5867.0,1.058,1.02,4.39,269.183
K2-74 b,K2-74,1.0,Transit,2016.0,K2,19.56651075,0.1402,2.9672668625,,,,,5931.0,1.0123333333333333,0.973591,4.3420000000000005,377.822
K2-75 b,K2-75,1.0,Transit,2016.0,K2,7.816749725,0.081,2.6146561975,,,,,5939.0,1.4300073333333334,1.1667545,4.189,561.93
K2-75 c,K2-75,1.0,Transit,2016.0,K2,18.2923315,0.1429,2.7165604925,,,,,5939.0,1.4300073333333334,1.1667545,4.189,561.93
K2-77 b,K2-77,1.0,Transit,2016.0,K2,8.200245733333333,0.07565,2.45952263,603.877,0.215,806.0,,5072.5199999999995,0.7878645,0.8492515,4.558254,141.731
K2-79 b,K2-79,1.0,Transit,2016.0,K2,10.994850999999999,0.09875,3.919475955,6.5,0.23,973.5,,5888.2,1.25975,1.0619875,4.272,256.011
K2-8 b,K2-8,1.0,Transit,2015.0,K2,10.353499444999999,0.0863,3.164,,,661.0,K3 V,4896.6,0.74539525,0.7799999999999999,4.543933333333333,403.513
